Date,Open,High,Low,Close
1989-09-11,61.37,61.37,61.37,61.37
1989-09-11,62.03,62.03,62.03,62.03
1989-09-11,62.83,62.83,62.83,62.83
1989-09-11,63.04,63.04,63.04,63.04
1989-09-11,63.17,63.17,63.17,63.17
1989-09-11,63.38,63.38,63.38,63.38
1989-09-11,65.13,65.13,65.13,65.13
1989-09-11,65.92,65.92,65.92,65.92
1989-09-11,66.26,66.26,66.26,66.26
1989-09-11,67.58,67.58,67.58,67.58
1989-09-11,67.94,67.94,67.94,67.94
1989-09-11,68.86,68.86,68.86,68.86
1989-09-11,68.71,68.71,68.71,68.71
1989-09-11,69.07,69.07,69.07,69.07
1989-09-11,71.13,71.13,71.13,71.13
1989-09-11,70.31,70.31,70.31,70.31
1989-09-11,71.15,71.15,71.15,71.15
1989-09-11,69.88,69.88,69.88,69.88
1989-09-11,71.0,71.0,71.0,71.0
1989-09-11,71.22,71.22,71.22,71.22
1989-09-11,70.04,70.04,70.04,70.04
1989-09-11,70.03,70.03,70.03,70.03
1989-09-11,70.24,70.24,70.24,70.24
1989-09-11,70.42,70.42,70.42,70.42
1989-09-11,69.36,69.36,69.36,69.36
1989-09-11,70.22,70.22,70.22,70.22
1989-09-11,70.56,70.56,70.56,70.56
1989-09-11,71.52,71.52,71.52,71.52
1989-09-11,71.74,71.74,71.74,71.74
1989-09-11,73.62,73.62,73.62,73.62
1989-09-11,73.73,73.73,73.73,73.73
1989-09-11,73.7,73.7,73.7,73.7
1989-09-11,73.37,73.37,73.37,73.37
1989-09-11,72.75,72.75,72.75,72.75
1989-09-11,72.07,72.07,72.07,72.07
1989-09-11,73.01,73.01,73.01,73.01
1989-09-11,72.57,72.57,72.57,72.57
1989-09-11,72.78,72.78,72.78,72.78
1989-09-11,72.58,72.58,72.58,72.58
1989-09-11,71.52,71.52,71.52,71.52
1989-09-11,71.49,71.49,71.49,71.49
1989-09-11,70.95,70.95,70.95,70.95
1989-09-11,71.5,71.5,71.5,71.5
1989-09-11,72.01,72.01,72.01,72.01
1989-09-11,73.8,73.8,73.8,73.8
1989-09-11,73.57,73.57,73.57,73.57
1989-09-11,73.4,73.4,73.4,73.4
1989-09-11,72.53,72.53,72.53,72.53
1989-09-11,74.43,74.43,74.43,74.43
1989-09-11,74.51,74.51,74.51,74.51
1989-09-11,74.99,74.99,74.99,74.99
1989-09-11,73.96,73.96,73.96,73.96
1989-09-11,75.01,75.01,75.01,75.01
1989-09-11,73.77,73.77,73.77,73.77
1989-09-11,73.55,73.55,73.55,73.55
1989-09-11,74.97,74.97,74.97,74.97
1989-09-11,75.7,75.7,75.7,75.7
1989-09-11,75.59,75.59,75.59,75.59
1989-09-11,76.76,76.76,76.76,76.76
1989-09-11,77.35,77.35,77.35,77.35
1989-09-11,77.22,77.22,77.22,77.22
1989-09-11,76.61,76.61,76.61,76.61
1989-09-11,75.76,75.76,75.76,75.76
1989-09-11,75.86,75.86,75.86,75.86
1989-09-11,76.68,76.68,76.68,76.68
1989-09-11,75.61,75.61,75.61,75.61
1989-09-11,75.36,75.36,75.36,75.36
1989-09-11,73.88,73.88,73.88,73.88
1989-09-11,74.16,74.16,74.16,74.16
1989-09-11,75.23,75.23,75.23,75.23
1989-09-11,75.53,75.53,75.53,75.53
1989-09-11,75.79,75.79,75.79,75.79
1989-09-11,75.6,75.6,75.6,75.6
1989-09-11,74.97,74.97,74.97,74.97
1989-09-11,75.24,75.24,75.24,75.24
1989-09-11,76.57,76.57,76.57,76.57
1989-09-11,74.98,74.98,74.98,74.98
1989-09-11,75.45,75.45,75.45,75.45
1989-09-11,74.34,74.34,74.34,74.34
1989-09-11,73.65,73.65,73.65,73.65
1989-09-11,74.27,74.27,74.27,74.27
1989-09-11,74.33,74.33,74.33,74.33
1989-09-11,74.14,74.14,74.14,74.14
1989-09-11,75.17,75.17,75.17,75.17
1989-09-11,75.4,75.4,75.4,75.4
1989-09-11,75.17,75.17,75.17,75.17
1989-09-11,75.86,75.86,75.86,75.86
1989-09-11,76.97,76.97,76.97,76.97
1989-09-11,77.5,77.5,77.5,77.5
1989-09-11,78.59,78.59,78.59,78.59
1989-09-11,79.97,79.97,79.97,79.97
1989-09-11,79.87,79.87,79.87,79.87
1989-09-11,79.5,79.5,79.5,79.5
1989-09-11,78.81,78.81,78.81,78.81
1989-09-11,78.33,78.33,78.33,78.33
1989-09-11,77.34,77.34,77.34,77.34
1989-09-11,77.08,77.08,77.08,77.08
1989-09-11,78.05,78.05,78.05,78.05
1989-09-11,76.92,76.92,76.92,76.92
1989-09-11,77.18,77.18,77.18,77.18
1989-09-11,78.32,78.32,78.32,78.32
1989-09-11,77.91,77.91,77.91,77.91
1989-09-11,77.43,77.43,77.43,77.43
1989-09-11,76.73,76.73,76.73,76.73
1989-09-11,76.97,76.97,76.97,76.97
1989-09-11,77.58,77.58,77.58,77.58
1989-09-11,75.45,75.45,75.45,75.45
1989-09-11,75.43,75.43,75.43,75.43
1989-09-11,75.64,75.64,75.64,75.64
1989-09-11,76.37,76.37,76.37,76.37
1989-09-11,75.45,75.45,75.45,75.45
1989-09-11,76.91,76.91,76.91,76.91
1989-09-11,77.14,77.14,77.14,77.14
1989-09-11,76.4,76.4,76.4,76.4
1989-09-11,76.57,76.57,76.57,76.57
1989-09-11,77.66,77.66,77.66,77.66
1989-09-11,77.49,77.49,77.49,77.49
1989-09-11,77.47,77.47,77.47,77.47
1989-09-11,78.0,78.0,78.0,78.0
1989-09-11,78.56,78.56,78.56,78.56
1989-09-11,78.88,78.88,78.88,78.88
1989-09-11,78.75,78.75,78.75,78.75
1989-09-11,78.59,78.59,78.59,78.59
1989-09-11,79.06,79.06,79.06,79.06
1989-09-11,78.85,78.85,78.85,78.85
1989-09-11,78.31,78.31,78.31,78.31
1989-09-11,77.56,77.56,77.56,77.56
1989-09-11,77.03,77.03,77.03,77.03
1989-09-11,77.68,77.68,77.68,77.68
1989-09-11,77.41,77.41,77.41,77.41
1989-09-11,77.6,77.6,77.6,77.6
1989-09-11,78.41,78.41,78.41,78.41
1989-09-11,78.61,78.61,78.61,78.61
1989-09-11,78.38,78.38,78.38,78.38
1989-09-11,78.27,78.27,78.27,78.27
1989-09-11,77.69,77.69,77.69,77.69
1989-09-11,78.97,78.97,78.97,78.97
1989-09-11,79.2,79.2,79.2,79.2
1989-09-11,79.45,79.45,79.45,79.45
1989-09-11,78.86,78.86,78.86,78.86
1989-09-11,79.19,79.19,79.19,79.19
1989-09-11,79.95,79.95,79.95,79.95
