date,spx_close,hlth_close,cons_close,cond_close,enrs_close,finl_close,indu_close,inft_close,matr_close,rlst_close,tels_close,util_close,daily_new_cases,daily_new_deaths
2020-10-01,3380.8,1225.24,662.44,1226.005,220.36,401.18,648.74,2074.28,394.46,222.34,198.17,304.95,47626,838
2020-10-02,3348.44,1214.11,658.43,1213.095,222.55,404,655.83,2021.4,397.67,225.85,194.22,308.4,52067,869
2020-10-05,3408.63,1239.5,663.53,1232.476,229.05,410.41,666.52,2067.19,405.32,227.2,197.38,312.31,40289,507
2020-10-06,3360.95,1223.27,659.12,1206.237,225.56,406.16,658.49,2034.23,400.21,225.43,193.47,314.98,47832,749
2020-10-07,3419.45,1246.4,666.94,1235.99,228.82,413.23,673.1,2072.75,410.68,226.06,195.17,316.97,50958,908
2020-10-08,3446.83,1252.29,670.87,1241.469,237.46,418.84,679.36,2082,415.01,229.64,197.05,322.69,59768,902
2020-10-09,3477.13,1263.33,676.06,1260.081,233.68,419.12,682.05,2114.08,418.02,228.95,198.57,322.55,60573,890
2020-10-12,3534.22,1271.84,684.04,1287.144,234.41,423.89,686.01,2171.48,417.39,230.07,203.37,324.74,46966,438
2020-10-13,3511.93,1262.7,683.98,1287.565,230.76,415.99,678.71,2157.82,413.48,226.17,204.07,322.45,56148,744
2020-10-14,3488.67,1253.94,680.44,1269.188,231.47,411.55,682.35,2146,414.92,223.54,201.66,321.96,60324,960
2020-10-15,3483.34,1244.88,680.54,1270.299,234.18,414.87,684.71,2136.47,413.8,224.58,200.34,321.78,66703,842
2020-10-16,3483.81,1257.6,681.08,1257.803,228.78,415.21,689.55,2130.53,416.43,223.66,200.36,325.27,71922,928
2020-10-19,3426.92,1236.95,671.96,1238.005,223.97,408.67,681.01,2090.58,411.46,220.19,196.61,322.49,55702,544
2020-10-20,3443.12,1238.57,671.25,1246.186,226.51,412.01,684.7,2098.58,412.62,221.79,198.19,324.32,66579,929
2020-10-21,3435.56,1232.76,672.06,1238.339,222.01,410.28,677.92,2095.83,411.24,220.97,200.74,323.64,67962,1198
2020-10-22,3453.49,1251.08,670.57,1238.942,231.24,417.99,683.01,2085.95,413.14,219.28,202.44,328.35,76884,988
2020-10-23,3465.39,1255.97,671.61,1249.953,229.96,419.47,685.74,2083.46,414.64,220.77,204.62,329.11,81899,890
